model,seed,held_out_cve,run_auc,run_precision,run_recall,run_f1,run_fpr,seq_auc,seq_precision,seq_recall,seq_f1,seq_fpr,test_normal_seqs,attack_spray_seqs,attack_bg_seqs
lstm_ae,42,-,0.8974,0.7368,0.5283,0.6154,0.1515,0.9781,0.1994,0.9958,0.3323,0.0643,22600,479,7189
lstm_ae,42,-,0.8892,1.0000,0.2125,0.3505,0.0000,0.9819,0.2119,0.9841,0.3488,0.0481,34154,566,8884
lstm_ae,42,-,0.8132,1.0000,0.0370,0.0714,0.0000,0.9824,0.2091,0.8966,0.3391,0.0223,11560,87,1695
lstm_ae,42,-,0.8921,0.4091,1.0000,0.5806,0.1990,0.9961,0.0465,1.0000,0.0888,0.0227,76908,87,1695
lstm_ae,42,-,0.9743,0.6613,0.7736,0.7130,0.0579,0.9944,0.1267,1.0000,0.2249,0.0208,151424,479,7189
lstm_vae,42,-,0.8822,0.9412,0.3019,0.4571,0.0152,0.9676,0.1916,0.9791,0.3205,0.0664,22600,479,7189
lstm_vae,42,CVE-2017-11176,0.9929,0.6667,1.0000,0.8000,0.3571,0.9930,0.3361,0.9878,0.5015,0.0812,1144,183,3744
lstm_vae,42,CVE-2017-7308,0.9617,0.9000,0.9474,0.9231,0.1818,0.7881,0.0371,0.1683,0.0608,0.1086,1144,183,3744
mlp_ae,42,-,0.9025,0.7619,0.6038,0.6737,0.1515,0.9845,0.2626,1.0000,0.4160,0.0452,22600,479,7189
mlp_ae,42,-,0.9262,0.9048,0.4750,0.6230,0.0357,0.9858,0.2749,0.9753,0.4289,0.0338,34154,566,8884
mlp_ae,42,-,0.8567,0.5000,0.0370,0.0690,0.0217,0.9909,0.2081,0.8851,0.3370,0.0221,11560,87,1695
mlp_ae,42,-,0.8861,0.4091,1.0000,0.5806,0.1990,0.9955,0.0438,1.0000,0.0839,0.0242,76908,87,1695
mlp_ae,42,-,0.9763,0.6613,0.7736,0.7130,0.0579,0.9944,0.1375,1.0000,0.2418,0.0189,151424,479,7189
mlp_ae,42,CVE-2017-11176,0.9000,1.0000,0.6000,0.7500,0.0000,0.9801,1.0000,0.5244,0.6880,0.0000,1144,183,3744
mlp_ae,42,CVE-2017-7308,1.0000,1.0000,0.4211,0.5926,0.0000,0.8972,0.0823,0.4653,0.1399,0.1290,1144,183,3744
ngram,42,-,0.7428,1.0000,0.2090,0.3457,0.0000,,,,,,,,
ngram,42,-,0.9283,0.7083,0.7391,0.7234,0.0791,,,,,,,,
ngram,42,-,0.8071,0.9487,0.3274,0.4868,0.0253,,,,,,,,
ngram,42,-,0.8551,0.9200,0.5000,0.6479,0.0741,,,,,,,,
ngram,42,-,0.7988,0.8000,0.1194,0.2078,0.0057,,,,,,,,
ocsvm,42,-,0.9151,0.8030,1.0000,0.8908,0.1970,0.9878,0.2848,0.9916,0.4425,0.0400,22600,479,7189
ocsvm,42,-,0.9295,0.8571,0.8250,0.8408,0.0982,0.9918,0.3286,0.9859,0.4929,0.0265,34154,566,8884
ocsvm,42,-,0.9461,1.0000,0.4815,0.6500,0.0000,0.9978,0.2640,0.9770,0.4156,0.0179,11560,87,1695
ocsvm,42,-,0.9031,0.3750,1.0000,0.5455,0.2296,0.9938,0.0455,1.0000,0.0870,0.0232,76908,87,1695
ocsvm,42,-,0.9601,0.6023,1.0000,0.7518,0.0964,0.9937,0.1613,0.9875,0.2773,0.0155,151424,479,7189
ocsvm,42,-,0.9151,0.8030,1.0000,0.8908,0.1970,0.9878,0.2848,0.9916,0.4425,0.0400,22600,479,7189
ocsvm,42,-,0.9295,0.8571,0.8250,0.8408,0.0982,0.9918,0.3286,0.9859,0.4929,0.0265,34154,566,8884
ocsvm,42,CVE-2017-11176,0.9214,0.7778,0.7000,0.7368,0.1429,0.9626,0.4839,0.5488,0.5143,0.0244,1144,183,3744
ocsvm,42,CVE-2017-7308,0.9426,0.9500,1.0000,0.9744,0.0909,0.9583,0.2372,0.9604,0.3804,0.0768,1144,183,3744
pca,42,CVE-2017-11176,0.7929,1.0000,0.6000,0.7500,0.0000,0.9517,0.4886,0.5244,0.5059,0.0228,1144,183,3744
pca,42,CVE-2017-7308,1.0000,1.0000,0.3684,0.5385,0.0000,0.9705,0.2321,0.9604,0.3738,0.0790,1144,183,3744
stat_threshold,42,-,0.9115,0.8824,0.5172,0.6522,0.1333,0.9255,0.2633,0.7869,0.3945,0.0824,1144,183,3744
stat_threshold,42,-,0.8762,1.0000,0.2000,0.3333,0.0000,0.9762,0.2105,0.9558,0.3450,0.0471,34154,566,8884
